technology,parameter,value,unit,source
oil,efficiency,0.393,per unit,DIW DataDoc http://hdl.handle.net/10419/80348 CT
oil,fuel,50,EUR/MWhth,IEA WEM2017 97USD/boe = http://www.iea.org/media/weowebsite/2017/WEM_Documentation_WEO2017.pdf
oil,investment,400,EUR/kWel,DIW DataDoc http://hdl.handle.net/10419/80348
oil,lifetime,30,years,ECF2010 in DIW DataDoc http://hdl.handle.net/10419/80348
onwind,FOM,2.450549,%/year,DEA https://ens.dk/en/our-services/projections-and-models/technology-data
onwind,VOM,2.3,EUR/MWhel,DEA https://ens.dk/en/our-services/projections-and-models/technology-data
onwind,investment,,EUR/kWel,
onwind,lifetime,30,years,DEA https://ens.dk/en/our-services/projections-and-models/technology-data
ror,FOM,2,%/year,DIW DataDoc http://hdl.handle.net/10419/80348
ror,efficiency,0.9,per unit,DIW DataDoc http://hdl.handle.net/10419/80348
ror,investment,3000,EUR/kWel,DIW DataDoc http://hdl.handle.net/10419/80348
ror,lifetime,80,years,IEA2010
solar,FOM,4.166667,%/year,DIW DataDoc http://hdl.handle.net/10419/80348
solar,VOM,0.01,EUR/MWhel,RES costs made up to fix curtailment order
solar,investment,600,EUR/kWel,DIW DataDoc http://hdl.handle.net/10419/80348
solar,lifetime,25,years,IEA2010
solar-rooftop,FOM,2,%/year,ETIP PV
solar-rooftop,discount rate,0.04,per unit,standard for decentral
solar-rooftop,investment,,EUR/kWel,
solar-rooftop,lifetime,,years,
solar-utility,FOM,3,%/year,ETIP PV
solar-utility,investment,,EUR/kWel,
solar-utility,lifetime,,years,
uranium,fuel,3,EUR/MWhth,DIW DataDoc http://hdl.handle.net/10419/80348
